df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
40.639,1.072
40.669,1.078
40.699,1.079
40.729,1.078
40.759,1.072
40.789,1.072
40.819,1.073
40.849,1.076
40.879,1.076
40.909,1.078
40.939,1.077
40.969,1.072
40.999,1.076
41.029,1.075
41.059,1.075
41.089,1.077
41.119,1.077
41.149,1.073
41.179,1.076
41.209,1.068
41.239,1.075
41.269,1.076
41.299,1.071
41.329,1.071
41.359,1.073
41.389,1.077
41.419,1.077
41.449,1.079
41.479,1.072
41.509,1.074
41.539,1.071
41.569,1.075
41.599,1.074
41.629,1.071
41.659,1.073
41.689,1.071
41.719,1.075
41.749,1.075
41.779,1.074
41.809,1.077
41.839,1.073
41.869,1.080
41.899,1.075
41.929,1.069
41.959,1.071
41.989,1.077
42.019,1.076
42.049,1.071
42.079,1.072
42.109,1.078
42.139,1.080
42.169,1.076
42.199,1.070
42.229,1.074
42.259,1.076
42.289,1.079
42.319,1.074
42.349,1.081
42.379,1.074
42.409,1.075
42.439,1.072
42.469,1.075
42.499,1.072
42.529,1.074
42.559,1.079
42.589,1.078
42.619,1.075
42.649,1.072
42.679,1.080
42.709,1.078
42.739,1.070
42.769,1.063
42.799,1.077
42.829,1.083
42.859,1.075
42.889,1.075
42.919,1.077
42.949,1.077
42.979,1.071
43.009,1.074
43.039,1.077
43.069,1.077
43.099,1.071
43.129,1.076
43.159,1.078
43.189,1.074
43.219,1.077
43.249,1.073
43.279,1.076
43.309,1.074
43.339,1.077
43.369,1.075
43.399,1.075
43.429,1.071
43.459,1.072
43.489,1.077
43.519,1.077
43.549,1.075
43.579,1.074
43.609,1.078
43.639,1.074
43.669,1.074
43.699,1.074
43.729,1.077
43.759,1.077
43.789,1.076
43.819,1.074
43.849,1.070
43.879,1.076
43.909,1.079
43.939,1.080
43.969,1.070
43.999,1.079
44.029,1.077
44.059,1.077
44.089,1.072
44.119,1.075
44.149,1.078
44.179,1.077
44.209,1.075
44.239,1.068
44.269,1.075
44.299,1.076
44.329,1.077
44.359,1.075
44.389,1.077
44.419,1.074
44.449,1.076
44.479,1.074
44.509,1.078
44.539,1.078
44.569,1.073
44.599,1.073
44.629,1.075
44.659,1.076
44.689,1.075
44.719,1.078
44.749,1.078
44.779,1.071
44.809,1.070
44.839,1.080
44.869,1.080
44.899,1.074
44.929,1.072
44.959,1.077
44.989,1.077
45.019,1.072
45.049,1.074
45.079,1.076
45.109,1.074
45.139,1.073
45.169,1.074
45.199,1.076
45.229,1.074
45.259,1.069
45.289,1.079
45.319,1.076
45.349,1.069
45.379,1.076
45.409,1.081
45.439,1.076
45.469,1.076
45.499,1.066
45.529,1.076
45.559,1.084
45.589,1.076
45.619,1.069
45.649,1.071
45.679,1.072
45.709,1.073
45.739,1.075
45.769,1.078
45.799,1.080
45.829,1.073
45.859,1.068
45.889,1.076
45.919,1.073
45.949,1.072
45.979,1.075
46.009,1.073
46.039,1.069
46.069,1.075
46.099,1.079
46.129,1.071
46.159,1.071
46.189,1.074
46.219,1.079
46.249,1.078
46.279,1.075
46.309,1.072
46.339,1.073
46.369,1.075
46.399,1.076
46.429,1.076
46.459,1.078
46.489,1.074
46.519,1.074
46.549,1.074
46.579,1.074
46.609,1.078
46.639,1.075
46.669,1.074
46.699,1.074
46.729,1.078
46.759,1.079
46.789,1.075
46.819,1.071
46.849,1.071
46.879,1.076
46.909,1.081
46.939,1.071
46.969,1.071
46.999,1.074
47.029,1.077
47.059,1.071
47.089,1.079
47.119,1.078
47.149,1.074
47.179,1.072
47.209,1.072
47.239,1.073
47.269,1.073
47.299,1.076
47.329,1.076
47.359,1.074
47.389,1.075
47.419,1.075
47.449,1.077
47.479,1.072
47.509,1.071
47.539,1.077
47.569,1.077
47.599,1.075
47.629,1.074
47.659,1.076
47.689,1.075
47.719,1.073
47.749,1.078
47.779,1.077
47.809,1.070
47.839,1.077
47.869,1.076
47.899,1.073
47.929,1.072
47.959,1.075
47.989,1.076
48.019,1.080
48.049,1.075
48.079,1.074
48.109,1.075
48.139,1.073
48.169,1.073
48.199,1.077
48.229,1.074
48.259,1.078
48.289,1.075
48.319,1.073
